url	indexed	published	search_indexed	title_snippet	content_snippet	title	content	root_url	domain_url	host_url	parent_url	lang	porn_level	fluency_level	spam_level	sentiment	source_type	post_type	cluster_id	meta_cluster_id	tags_internal	tags_marking	tags_customer	entity_urls	images.url	images.width	images.height	images.legend	videos.url	videos.width	videos.height	videos.legend	pagemonitoring_sitemon_siteid	matched_profile	article_extended_attributes.facebook_shares	article_extended_attributes.facebook_likes	article_extended_attributes.twitter_retweets	article_extended_attributes.url_views	article_extended_attributes.pinterest_likes	article_extended_attributes.pinterest_pins	article_extended_attributes.pinterest_repins	article_extended_attributes.youtube_views	article_extended_attributes.youtube_likes	article_extended_attributes.youtube_dislikes	article_extended_attributes.instagram_likes	article_extended_attributes.twitter_shares	article_extended_attributes.num_comments	source_extended_attributes.alexa_pageviews	source_extended_attributes.facebook_followers	source_extended_attributes.twitter_followers	source_extended_attributes.instagram_followers	source_extended_attributes.pinterest_followers	extra_article_attributes.world_data.continent	extra_article_attributes.world_data.country	extra_article_attributes.world_data.country_code	extra_article_attributes.world_data.region	extra_article_attributes.world_data.city	extra_article_attributes.world_data.longitude	extra_article_attributes.world_data.latitude	extra_author_attributes.id	extra_author_attributes.type	extra_author_attributes.name	extra_author_attributes.birthdate.date	extra_author_attributes.birthdate.resolution	extra_author_attributes.gender	extra_author_attributes.image_url	extra_author_attributes.short_name	extra_author_attributes.url	extra_author_attributes.world_data.continent	extra_author_attributes.world_data.country	extra_author_attributes.world_data.country_code	extra_author_attributes.world_data.region	extra_author_attributes.world_data.city	extra_author_attributes.world_data.longitude	extra_author_attributes.world_data.latitude	extra_source_attributes.world_data.continent	extra_source_attributes.world_data.country	extra_source_attributes.world_data.country_code	extra_source_attributes.world_data.region	extra_source_attributes.world_data.city	extra_source_attributes.world_data.longitude	extra_source_attributes.world_data.latitude	engagement	reach	provider	generator.type	source_extended_attributes.alexa_unique_visitors	article_extended_attributes.twitter_likes	extra_author_attributes.description	article_extended_attributes.linkedin_shares	extra_source_attributes.name	word_count	rating
https://virginialatinonews.com/peraton-awarded-950m-advanced-battle-management-system-idiq-contract/	11/09/20 9:07:27 AM	11/09/20 3:30:00 AM	11/09/20 9:09:06 AM	Peraton Awarded $950M Advanced Battle Management System IDIQ Contract	...across the U.S. and Canada. Visit Peraton.com/News and follow @PeratonCorp on Twitter for news and updates.  SOURCE Peraton	Peraton Awarded $950M Advanced Battle Management System IDIQ Contract	HERNDON, Va., Nov. 9, 2020 /PRNewswire/ — Peraton has been awarded a $950,000,000 ceiling indefinite-delivery/indefinite-quantity contract for the maturation, demonstration and proliferation of capability across platforms and domains, leveraging open...	https://virginialatinonews.com/	http://virginialatinonews.com/	http://virginialatinonews.com/	https://virginialatinonews.com/peraton-awarded-950m-advanced-battle-management-system-idiq-contract/	en	0	95	22	5	BLOG,BLOG_OTHER	TEXT						"[{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2973719-1&amp;h=2385447335&amp;u=http%3A%2F%2Fwww.peraton.com%2Fnews&amp;a=Peraton.com%2FNews""},{""url"":""Peraton.com/News""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2973719-1&amp;h=4210599284&amp;u=http%3A%2F%2Fwww.twitter.com%2Fperatoncorp&amp;a=%40PeratonCorp""}]"		0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:virginialatinonews.com-1183327868		©2020. virginia latino news	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	virginialatinonews.com	379	
https://trajectorymagazine.com/weekly-geoint-community-news-174/	11/16/20 4:16:39 PM	11/16/20 1:07:11 PM	11/16/20 4:18:20 PM	Weekly GEOINT Community News	Natarajan will report to CEO Nazzic Keene and will succeed Charlie Mathis, who announced his retirement earlier this year.  Peraton named former Deputy Director of National Intelligence for Enterprise Capacity, Kevin Meiners, to its Advisory Board...	Weekly GEOINT Community News	Esri Announces Launch of ArcGIS Field Maps  Esri the launch of the ArcGIS Field Maps mobile app. ArcGIS Field Maps is an all-in-one app that uses data-driven maps to help mobile workers collect and edit data, find information, plus report their real-...	https://trajectorymagazine.com/	http://trajectorymagazine.com/	http://trajectorymagazine.com/	https://trajectorymagazine.com/weekly-geoint-community-news-174/	en	0	90	2	0	BLOG,BLOG_OTHER	TEXT			containsVideo			"[{""url"":""https://www.baesystems.com/en/article/bae-systems-secures-94-million-contract-to-deliver-advanced-technology-to-the-us-navy""},{""url"":""https://www.peraton.com/peraton-names-former-deputy-director-of-national-intelligence-for-enterprise-capacity-kevin-meiners-to-its-advisory-board/""}]"		0	0		http://vimeo.com/trajectoryonlocation	0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:trajectorymagazine.com-111580262		USGIF	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Virginia	Herndon, Virginia	-77.3931884765625	38.97125244140625	0	0			0	0		0	trajectorymagazine.com	584	
https://www.airforcemag.com/abms-project-nears-100-participating-companies/	11/05/20 3:22:11 PM	11/05/20 3:15:30 PM	11/05/20 3:24:06 PM	ABMS Project Nears 100 Participating Companies	F9 Teams Hewlett Packard Enterprise Infinity Labs Radiant Mission Solutions Microsoft Ortman Consulting Peraton R2 Space Sierra Nevada...	ABMS Project Nears 100 Participating Companies	Two dozen more companies have joined the Air Force’s Advanced Battle Management System effort to network its aircraft, sensors, and computer systems, the Pentagon said Nov. 4.  Nearly 100 contractors are now part of that project, which offers hundred...	http://www.airforcemag.com/	http://airforcemag.com/	http://www.airforcemag.com/	https://www.airforcemag.com/abms-project-nears-100-participating-companies/	en	0	80	2	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isNewsHost,isEdited			"[{""url"":""https://www.airforcemag.com/usaf-army-move-forward-under-new-command-and-control-agreement/""}]"	https://www.airforcemag.com/app/uploads/2020/11/6340774-900x600.jpg	900	600			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	5	0	100000	0	0	0	0						0.0	0.0	ex:www.airforcemag.com-1289647899		rachel s. cohen	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Texas	Arlington, Texas	-97.1246337890625	32.70355224609375	5	83333			83333	0		0	www.airforcemag.com	368	
https://www.govconwire.com/2020/11/competitive-intelligence-spotlight-36-peratons-leslie-mauger-on-proactive-research-data-insight-connection/	11/24/20 5:19:25 AM	11/24/20 1:02:35 AM	11/24/20 5:21:02 AM	Competitive Intelligence Spotlight #36: Peraton’s Leslie Mauger on Proactive Research, Data-Insight...	...competitive advantage.Leslie Mauger, director of pricing, strategy and intelligence at Peraton, recently spoke to ArchIntel about the company's research agenda to support corporate growth efforts, the role of partnerships in business opportunity...	Competitive Intelligence Spotlight #36: Peraton’s Leslie Mauger on Proactive Research, Data-Insight Connection	TYSONS CORNER, VA, November 24, 2020 — ArchIntel is pleased to unveil the 36th in a series of interviews with Competitive Intelligence and GovCon executives who share their insights about creating and sustaining a competitive advantage.Leslie Mauger,...	https://www.govconwire.com/	http://govconwire.com/	http://www.govconwire.com/	https://www.govconwire.com/2020/11/competitive-intelligence-spotlight-36-peratons-leslie-mauger-on-proactive-research-data-insight-connection/	en	0	100	16	5	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			[]	https://govconwire-media.s3.amazonaws.com/2020/11/24/0e/f8/b0/fe/44/1f/4b/74/a0I4y00000PhGiZEAV-mauger_leslie_20201124.png	272	270	Leslie Mauger Director Peraton		0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	1	0	80000	0	0	0	0						0.0	0.0	ex:www.govconwire.com-624694254		mary-louise hoffman	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	1	72727			72727	0		0	www.govconwire.com	132	
https://pressdaily.com/peraton-names-former-deputy-director-of-national-intelligence-for-enterprise-capacity-kevin-meiners-to-advisory-board-171711/	11/05/20 10:02:11 AM	11/05/20 9:11:02 AM	11/05/20 10:04:46 AM	Peraton Names Former Deputy Director of National Intelligence for...	...across the U.S. and Canada. Visit Peraton.com/News and follow @PeratonCorp on Twitter for news and updates.  SOURCE Peraton	Peraton Names Former Deputy Director of National Intelligence for Enterprise Capacity Kevin Meiners to Advisory Board	“During his more than 36 years of service to our nation, Kevin distinguished himself as a trusted counsel within both the Intelligence Community and the Department of Defense and it is an honor to welcome him to Peraton’s Advisory Board,” said  Stu S...	https://pressdaily.com/	http://pressdaily.com/	http://pressdaily.com/	https://pressdaily.com/peraton-names-former-deputy-director-of-national-intelligence-for-enterprise-capacity-kevin-meiners-to-advisory-board-171711/	en	0	70	46	5	BLOG,BLOG_OTHER	TEXT						"[{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=2948063936&amp;u=http%3A%2F%2Fwww.twitter.com%2Fperatoncorp&amp;a=%40PeratonCorp""},{""url"":""Peraton.com/News""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=3680521747&amp;u=http%3A%2F%2Fwww.peraton.com%2Fnews&amp;a=Peraton.com%2FNews""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=1891964267&amp;u=https%3A%2F%2Fwww.peraton.com%2Fwho-we-are%2Fadvisory-board%2F&amp;a=Peraton%27s+Advisory+Board""}]"		0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:pressdaily.com-1657182812		robert binford	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	pressdaily.com	437	
https://intelligencecommunitynews.com/peraton-adds-kevin-meiners-to-advisory-board/	11/06/20 6:43:58 AM	11/06/20 6:43:28 AM	11/06/20 6:46:14 AM	Peraton adds Kevin Meiners to advisory board	...honor to welcome him to Peraton’s Advisory Board,” said Stu Shea, Peraton’s chairman, president and CEO. “His natural ... requirements will add tremendous value to Peraton and the customers that we serve across the space and air...	Peraton adds Kevin Meiners to advisory board	Peraton has named former Deputy Director of National Intelligence for Enterprise Capacity Kevin Meiners to its Advisory Board, the Herndon, VA-based company announced November 5.  “During his more than 36 years of service to our nation, Kevin disting...	https://intelligencecommunitynews.com/	http://intelligencecommunitynews.com/	http://intelligencecommunitynews.com/	https://intelligencecommunitynews.com/peraton-adds-kevin-meiners-to-advisory-board/	en	0	55	8	5	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage			"[{""url"":""https://www.peraton.com/who-we-are/advisory-board/""}]"	https://intelligencecommunitynews.com/wp-content/uploads/2020/02/drew-beamer-679505-unsplash.jpg	0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	1	0	10000	0	0	0	0						0.0	0.0	ex:intelligencecommunitynews.com-45505688		loren blinde	0	DAY	FEMALE									0.0	0.0	Europe	United Kingdom	uk	Cambridgeshire	March, Cambridgeshire	0.0933837890625	52.55035400390625	1	5000			5000	0		0	intelligencecommunitynews.com	358	
https://www.uavexpertnews.com/2020/11/skysensus-announces-selection-for-rtm-services-trials/	11/23/20 11:11:13 AM	11/23/20 11:04:06 AM	11/23/20 11:13:27 AM	SkySensus Announces Selection for RTM Services Trials	...R&D project that is funded and led by Peraton Canada for the research and development, and commercialization of Beyond ... Blair Boyd, SkySensus Program Manager at Peraton Canada. “The RTM services trials complement our current project focus on...	SkySensus Announces Selection for RTM Services Trials	SkySensus, an R&D project that is funded and led by Peraton Canada for the research and development, and commercialization of Beyond Visual Line of Sight (BVLOS) in unmanned systems, is proud to announce it was selected to fulfill Canada’s official R...	https://www.uavexpertnews.com/	http://uavexpertnews.com/	http://www.uavexpertnews.com/	https://www.uavexpertnews.com/2020/11/skysensus-announces-selection-for-rtm-services-trials/	en	0	100	0	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.unifly.aero/""}]"		0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	2	0	20000	0	0	0	0						0.0	0.0	ex:www.uavexpertnews.com-106931267		press	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	2	5000			5000	0		0	www.uavexpertnews.com	763	
https://www.peraton.ca/project-skysensus/	11/18/20 1:23:02 AM	11/18/20 1:23:01 AM	11/18/20 1:24:22 AM	Project SkySensus - Peraton in Canada	...Technological Benefits policy, funded and led by Peraton in Canada for the research and development, and commercialization ... Evaluation).  The Origin of SkySensus  Peraton established Project SkySensus to foster Unmanned Aerial Systems (UAS)...	Project SkySensus - Peraton in Canada	About SkySensus  SkySensus is a R&D project under Innovation, Science and Economic Development (ISED) Canada’s Industrial and Technological Benefits policy, funded and led by Peraton in Canada for the research and development, and commercialization o...	https://www.peraton.ca/	http://peraton.ca/	http://www.peraton.ca/	https://www.peraton.ca/project-skysensus/	en	0	80	100	0	BLOG,BLOG_OTHER	TEXT			hasImage,containsImage			"[{""url"":""https://www.linkedin.com/company/skysensus/""},{""url"":""https://www.peraton.ca/wp-content/uploads/2020/11/logo_skysensus.png""}]"	https://www.peraton.ca/wp-content/uploads/2020/11/logo_skysensus.png	150	150			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:www.peraton.ca-0			0	DAY	UNKNOWN									0.0	0.0	North America	Canada	ca	Ontario	Ottawa	-75.7012939453125	45.41473388671875	0	0			0	0		0	www.peraton.ca	482	
https://thedailyphiladelphian.com/uncategorized/278637/artificial-intelligence-market-swot-analysis-by-top-manufacturers-ibm-intel-nuance-communications-iflytek-microsoft/	11/19/20 12:38:52 PM	11/19/20 9:24:39 AM	11/19/20 12:40:52 PM	Artificial Intelligence Market SWOT Analysis, by Top Manufacturers: IBM, Intel, Nuance...	...by Top Manufacturers: Check Point Software, Fortinet, Sasa Software, Deep Secure, Peraton	Artificial Intelligence Market SWOT Analysis, by Top Manufacturers: IBM, Intel, Nuance Communications, IFLYTEK, Microsoft – The Daily Philadelphian	” This all-inclusive research report is thoughtful compilation of thorough market development and growth factors that optimizes onward growth trajectory in the global Artificial Intelligence market. The report houses a well-crafted synopsis of key ma...	https://thedailyphiladelphian.com/	http://thedailyphiladelphian.com/	http://thedailyphiladelphian.com/	https://thedailyphiladelphian.com/uncategorized/278637/artificial-intelligence-market-swot-analysis-by-top-manufacturers-ibm-intel-nuance-communications-iflytek-microsoft/	en	0	15	54	0	BLOG,BLOG_OTHER	TEXT			isQuestion			"[{""url"":""H2O.ai""},{""url"":""https://thedailyphiladelphian.com/uncategorized/278636/content-disarm-and-reconstruction-cdr-market-swot-analysis-by-top-manufacturers-check-point-software-fortinet-sasa-software-deep-secure-peraton/""},{""url"":""https://www.orbismarketreports.com/sample-request/70059?utm_source=G0v!nd?utm_source=G0v!nd""}]"		0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:thedailyphiladelphian.com-290133375		anita_adroit	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	thedailyphiladelphian.com	898	
https://virginialatinonews.com/peraton-names-former-deputy-director-of-national-intelligence-for-enterprise-capacity-kevin-meiners-to-advisory-board/	11/05/20 9:08:14 AM	11/05/20 3:30:00 AM	11/05/20 9:09:42 AM	Peraton Names Former Deputy Director of National Intelligence for...	...across the U.S. and Canada. Visit Peraton.com/News and follow @PeratonCorp on Twitter for news and updates.  SOURCE Peraton	Peraton Names Former Deputy Director of National Intelligence for Enterprise Capacity Kevin Meiners to Advisory Board – Virginia Latino News	HERNDON, Va., Nov. 5, 2020Peraton has named former Deputy Director of National Intelligence for Enterprise Capacity Kevin Meiners to its Advisory Board.  «During his more than 36 years of service to our nation, Kevin distinguished himself as a truste...	https://virginialatinonews.com/	http://virginialatinonews.com/	http://virginialatinonews.com/	https://virginialatinonews.com/peraton-names-former-deputy-director-of-national-intelligence-for-enterprise-capacity-kevin-meiners-to-advisory-board/	en	0	65	22	5	BLOG,BLOG_OTHER	TEXT						"[{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=3446189892&amp;u=https%3A%2F%2Fwww.peraton.com%2Fwho-we-are%2Fadvisory-board%2F&amp;a=Advisory+Board""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=2948063936&amp;u=http%3A%2F%2Fwww.twitter.com%2Fperatoncorp&amp;a=%40PeratonCorp""},{""url"":""Peraton.com/News""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=3680521747&amp;u=http%3A%2F%2Fwww.peraton.com%2Fnews&amp;a=Peraton.com%2FNews""},{""url"":""https://c212.net/c/link/?t=0&amp;l=en&amp;o=2971369-1&amp;h=1891964267&amp;u=https%3A%2F%2Fwww.peraton.com%2Fwho-we-are%2Fadvisory-board%2F&amp;a=Peraton%27s+Advisory+Board""}]"		0	0			0	0			SEARCH / Competitors / Peraton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:virginialatinonews.com-1183327868		©2020. virginia latino news	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	virginialatinonews.com	459	
